Task Query,Type,What do we want to check?,Codebase filepath,DB Table,Could be approach,How will it help in answering the task?
Which parts of the candidate generation pipeline consistently surface poor results?,Diagnostic Analytics,Isolate quality regressions in candidate generation for specific intents like 'sushi open late'.,"terrarium-ddsh/search_service:app/search/candidate_generation.py, terrarium-ddsh/rerankers-api:training/data_proc.py","ts-sim.sim.public.recommendation_items_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.recommendations_log,ts-ddsh.ts_ddsh.public.users,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.menu_items",Group query types by observed performance and identify patterns in item characteristics returned.,It helps us isolate quality regressions in generation for specific intents (e.g. “sushi open late”).
Some query types seem to consistently lead to user frustration and abandonment. Can we isolate and analyze these?,Cluster-Driven Diagnostic Analytics,Cluster sessions by query and user outcome to see what groups are associated with higher drop-off.,"terrarium-ddsh/rerankers-api:training/data_proc.py, terrarium-ddsh/rerankers-api:shared/feature_engineering.py, terrarium-ddsh/rerankers-api:training/evaluate.py, terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb","ts-sim.sim.public.impression_log,ts-sim.sim.public.session_log,ts-sim.sim.public.recommendation_items_log,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-ddsh.ts_ddsh.public.users,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.menu_items",Cluster sessions by query and user outcome to see what groups are associated with higher drop-off.,It reveals whether specific kinds of queries or cohorts are driving poor experience and need focused redesign or ranking fixes.
Does showing a relevant result at the top influence user behavior throughout the session?,Behavioral Analysis,Compare session paths where initial top item was clicked versus not.,"terrarium-ddsh/rerankers-api:training/data_proc.py, terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb","ts-sim.sim.public.impression_log,ts-sim.sim.public.action_results_log,ts-sim.sim.public.session_log,ts-sim.sim.public.recommendation_items_log,ts-ddsh.ts_ddsh.public.users,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.menu_items",Compare session paths where initial top item was clicked versus not.,"It provides evidence for whether early success sets the tone for later engagement, and whether rank order is respected."
Are we showing too many irrelevant options in the long tail of recommendations?,Performance Metrics,Quantify how often users take action beyond top-k ranks and what the quality looks like there.,"terrarium-ddsh/rerankers-api:training/evaluate.py, terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb","ts-sim.sim.public.recommendation_items_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.recommendations_log,ts-ddsh.ts_ddsh.public.users,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.menu_items",Quantify how often users take action beyond top-k ranks and what the quality looks like there.,Helps detect if we're over-generating or polluting the candidate pool with low-signal items.
Which demographic segments struggle most with the current recommendation setup?,Segmentation Analysis,"Slice session success rates by user attributes like persona, tech-savviness, or age.","terrarium-ddsh/rerankers-api:training/data_proc.py, terrarium-ddsh/rerankers-api:shared/feature_engineering.py, terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb","ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.session_log,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.menu_items","Slice session success rates by user attributes like persona, tech-savviness, or age.",Gives insights into accessibility and coverage gaps across user cohorts.
"Our overall CTR dropped by 2% this week. Is this just noise, or is there a specific type of user or query that's suddenly performing worse?",Diagnostic Analytics,Cluster user sessions from this week and last week to identify low-performing sessions.,"terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb, terrarium-ddsh/rerankers-api:shared/feature_engineering.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.ActionResultsLog,ts-sim.sim.public.RecommendationsLog,ts-sim.sim.public.SessionLog,ts-sim.sim.public.recommendations_log",Cluster-Driven Diagnostic Analytics,"By clustering user sessions from this week and last week, we can identify if a new cluster of low-performing sessions has emerged or if an existing cluster has grown, pointing directly to the root cause of the CTR drop."
We're seeing a lot of users abandon their session after just one search. Can we automatically identify and categorize the types of searches that lead to these 'zero-click' sessions?,Cluster-Driven Diagnostic Analytics,"Group zero-click sessions by features like query type, user demographics, time of day.","terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb, terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.ActionResultsLog,ts-sim.sim.public.RecommendationsLog,ts-sim.sim.public.SessionLog,ts-sim.sim.public.recommendations_log",Cluster-Driven Diagnostic Analytics,"This approach will group all zero-click sessions into distinct categories based on features like query type, user demographics, and time of day, allowing us to see if, for example, 'vague, single-word queries from new users' is the biggest problem segment."
Some users search and browse a lot but never convert. What’s different about them?,Behavioral Comparison,Compare high-engagement low-conversion users against normal converters.,"terrarium-ddsh/rerankers-api:training/data_proc.py, terrarium-ddsh/rerankers-api:training/evaluate.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.session_log",Compare high-engagement low-conversion users against normal converters.,Identifies what factors correlate with 'window shopping' behavior.
"When we promote restaurants in downtown, do nearby restaurants suffer? We need to understand these ripple effects.",Causal Inference,Quantify spillover effects between geographically proximate restaurants.,"terrarium-ddsh/search_service:app/routers/restaurants.py, terrarium-ddsh/search_service:app/models.py, terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.impression_log,ts-sim.sim.public.orders",Network-Interference Cluster Randomisation with spatial analysis,Quantifies spillover effects between geographically proximate restaurants.
How long should we run our search algorithm experiments before we can confidently pick a winner?,Experimental Design,Determine optimal stopping time while maintaining statistical validity.,"terrarium-ddsh/rerankers-api:training/evaluate.py, terrarium-ddsh/rerankers-api:training/metrics.py, terrarium-ddsh/search_service:app/search/service.py","ts-sim.sim.public.action_results_log,ts-sim.sim.public.session_metrics_log,ts-sim.sim.public.system_runs_log",Sequential testing with Alpha-Spending (Pocock/O'Brien-Fleming boundaries),Determines optimal stopping time while maintaining statistical validity.
"Are users actually price sensitive, or is something else driving their choices? We see correlations but need the real story.",Causal Inference,Isolate true causal effect of price on demand.,"terrarium-ddsh/search_service:app/routers/menu_items.py, terrarium-ddsh/rerankers-api:training/data_proc.py, terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders",Instrumental Variable (2SLS) using delivery radius or promo eligibility,"Isolates true causal effect of price on demand, removing endogeneity bias."
Some user types seem to love our personalized recommendations while others ignore them. Can we figure out who benefits most?,Heterogeneous Effects,Identify which user personas gain the most value from personalization.,"terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/search_service:app/routers/users.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Heterogeneous Treatment Effect (HTE) Estimation using Causal Forests,"Identifies which user personas gain the most value from personalization, enabling targeted rollout."
That Italian restaurant started a big promotion last month. Did it actually increase their sales or just shift orders around?,Causal Impact,Create artificial control group from similar restaurants to estimate true promotional lift.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log,ts-sim.sim.public.session_log",Synthetic Control method to construct counterfactual,Creates artificial control group from similar restaurants to estimate true promotional lift.
"We rolled out the new ranking algorithm last week, but how do we know if it's actually better than the old one?",Post-Rollout Evaluation,Enable confident decision-making with minimal sample size while controlling false positive rates.,"terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:training/metrics.py","ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendation_items_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_metrics_log",Sequential & Alpha-Spending Tests (SPRT) for early stopping with controlled error rates,Enables confident decision-making with minimal sample size while controlling false positive rates.
"What's the optimal discount to offer for a weekend promotion to maximize revenue, not just the number of orders?",Pricing Optimization,Model the relationship between discount amount and order probability to find optimal discount.,terrarium-ddsh/rerankers-api:notebooks/data_proc.ipynb,"ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log",Analytic Price-Elasticity Optimisation with constraints,"By modeling the relationship between discount amount and order probability (demand curve), we can often find a closed-form solution for the discount that maximizes total revenue (`price * quantity`)."
How confident can we be that our new reranker is actually causing the conversion improvements we're seeing?,Causal Robustness,Quantify robustness of causal claims to unobserved confounding.,"terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/metrics.py","ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_metrics_log",Sensitivity Analysis using Rosenbaum Bounds and E-Values,Quantifies robustness of causal claims to unobserved confounding.
